seed_spec	current_label	current_score	benchmark_label	benchmark_score	delta_current_minus_benchmark	ratio_current_over_benchmark	current_log	benchmark_log
1,1000	iter8_single_hit_axis_scoring	167269.000000	random_1000	206006.000000	-38737	0.811962	benchmarks/20260625T005327Z_iter8_single_hit_axis_scoring/run_1_1000.log	benchmarks/20260624T161439Z_random_1000/run_1_1000.log
1,1000	iter8_single_hit_axis_scoring	167269.000000	iter1_1000	175604.000000	-8335	0.952535	benchmarks/20260625T005327Z_iter8_single_hit_axis_scoring/run_1_1000.log	benchmarks/20260624T161442Z_iter1_1000/run_1_1000.log
1,1000	iter8_single_hit_axis_scoring	167269.000000	iter2_hit_compatible_heatmap_reference	172466.000000	-5197	0.969867	benchmarks/20260625T005327Z_iter8_single_hit_axis_scoring/run_1_1000.log	benchmarks/20260624T162004Z_iter2_hit_compatible_heatmap/run_1_1000.log
1,1000	iter8_single_hit_axis_scoring	167269.000000	iter3_kill_segment_reference	168720.000000	-1451	0.9914	benchmarks/20260625T005327Z_iter8_single_hit_axis_scoring/run_1_1000.log	benchmarks/20260624T162346Z_iter3_kill_segment_inference/run_1_1000.log
1,1000	iter8_single_hit_axis_scoring	167269.000000	iter4_hit_required_heatmap_reference	167001.000000	268	1.0016	benchmarks/20260625T005327Z_iter8_single_hit_axis_scoring/run_1_1000.log	benchmarks/20260624T164439Z_iter4_hit_required_heatmap/run_1_1000.log
1,1000	iter8_single_hit_axis_scoring	167269.000000	iter5_single_hit_damped_chase_reference	166948.000000	321	1.00192	benchmarks/20260625T005327Z_iter8_single_hit_axis_scoring/run_1_1000.log	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log
1,1000	iter8_single_hit_axis_scoring	167269.000000	iter6_normalized_hunt_heatmap_reference	166703.000000	566	1.0034	benchmarks/20260625T005327Z_iter8_single_hit_axis_scoring/run_1_1000.log	benchmarks/20260624T165518Z_iter6_normalized_hunt_heatmap/run_1_1000.log
1,1000	iter8_single_hit_axis_scoring	167269.000000	iter7_blended_heatmap_a50_reference	165996.000000	1273	1.00767	benchmarks/20260625T005327Z_iter8_single_hit_axis_scoring/run_1_1000.log	benchmarks/20260624T165925Z_iter7_blended_heatmap_a50/run_1_1000.log
1,1000	iter8_single_hit_axis_scoring	167269.000000	iter8_tuned_constants_reference	165398.000000	1871	1.01131	benchmarks/20260625T005327Z_iter8_single_hit_axis_scoring/run_1_1000.log	benchmarks/20260624T171515Z_tune_s2_a0p60_sh0p50_cb0p0000/run_1_1000.log
