seed_spec	current_label	current_score	benchmark_label	benchmark_score	delta_current_minus_benchmark	ratio_current_over_benchmark	current_log	benchmark_log
1,1000	iter5_single_hit_damped_chase	166948.000000	random_1000	206006.000000	-39058	0.810404	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log	benchmarks/20260624T161439Z_random_1000/run_1_1000.log
1,1000	iter5_single_hit_damped_chase	166948.000000	iter1_1000	175604.000000	-8656	0.950707	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log	benchmarks/20260624T161442Z_iter1_1000/run_1_1000.log
1,1000	iter5_single_hit_damped_chase	166948.000000	iter2_hit_compatible_heatmap_reference	172466.000000	-5518	0.968005	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log	benchmarks/20260624T162004Z_iter2_hit_compatible_heatmap/run_1_1000.log
1,1000	iter5_single_hit_damped_chase	166948.000000	iter3_kill_segment_reference	168720.000000	-1772	0.989497	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log	benchmarks/20260624T162346Z_iter3_kill_segment_inference/run_1_1000.log
1,1000	iter5_single_hit_damped_chase	166948.000000	iter4_hit_required_heatmap_reference	167001.000000	-53	0.999683	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log	benchmarks/20260624T164439Z_iter4_hit_required_heatmap/run_1_1000.log
