seed_spec	current_label	current_score	benchmark_label	benchmark_score	delta_current_minus_benchmark	ratio_current_over_benchmark	current_log	benchmark_log
1,1000	iter8_scan_density_heatmap	165350.718049	random_1000	206006.000000	-40655.3	0.80265	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log	benchmarks/20260624T161439Z_random_1000/run_1_1000.log
1,1000	iter8_scan_density_heatmap	165350.718049	iter1_1000	175604.000000	-10253.3	0.941611	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log	benchmarks/20260624T161442Z_iter1_1000/run_1_1000.log
1,1000	iter8_scan_density_heatmap	165350.718049	iter2_hit_compatible_heatmap_reference	172466.000000	-7115.28	0.958744	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log	benchmarks/20260624T162004Z_iter2_hit_compatible_heatmap/run_1_1000.log
1,1000	iter8_scan_density_heatmap	165350.718049	iter3_kill_segment_reference	168720.000000	-3369.28	0.98003	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log	benchmarks/20260624T162346Z_iter3_kill_segment_inference/run_1_1000.log
1,1000	iter8_scan_density_heatmap	165350.718049	iter4_hit_required_heatmap_reference	167001.000000	-1650.28	0.990118	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log	benchmarks/20260624T164439Z_iter4_hit_required_heatmap/run_1_1000.log
1,1000	iter8_scan_density_heatmap	165350.718049	iter5_single_hit_damped_chase_reference	166948.000000	-1597.28	0.990432	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log
1,1000	iter8_scan_density_heatmap	165350.718049	iter6_normalized_hunt_heatmap_reference	166703.000000	-1352.28	0.991888	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log	benchmarks/20260624T165518Z_iter6_normalized_hunt_heatmap/run_1_1000.log
1,1000	iter8_scan_density_heatmap	165350.718049	iter7_blended_heatmap_a50_reference	165996.000000	-645.282	0.996113	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log	benchmarks/20260624T165925Z_iter7_blended_heatmap_a50/run_1_1000.log
1,1000	iter8_scan_density_heatmap	165350.718049	iter8_tuned_constants_reference	165398.000000	-47.282	0.999714	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log	benchmarks/20260624T171515Z_tune_s2_a0p60_sh0p50_cb0p0000/run_1_1000.log
